plz,x,z,power_kw,year
79117,-0.612575,1.072779,5560.0,2025
23758,0.103735,-1.049262,4150.0,2025
33178,-0.418415,-0.174062,5560.0,2025
15910,0.79718,-0.275399,5600.0,2025
15910,0.798801,-0.272938,5600.0,2025
73312,-0.148614,0.852493,1.0,2024
38312,0.032972,-0.304619,6800.0,2025
18233,0.299845,-0.949663,5560.0,2025
54298,-0.932206,0.437866,5560.0,2025
54320,-0.889463,0.473626,5560.0,2025
29378,0.087534,-0.508089,1.0,2025
25852,-0.368948,-1.16302,6600.0,2025
25852,-0.367328,-1.160559,6600.0,2025
25852,-0.372328,-1.163431,6600.0,2025
15910,0.7938,-0.275811,6000.0,2025
38312,0.028842,-0.294526,6800.0,2025
38312,0.026792,-0.307394,6800.0,2025
26904,-0.701254,-0.587646,5560.0,2025
34439,-0.320891,-0.146494,4200.0,2025
25557,-0.256026,-0.987266,6600.0,2025
25557,-0.249349,-0.990373,6600.0,2025
16356,0.772291,-0.485808,4200.0,2025
26487,-0.699927,-0.800437,4260.0,2025
63505,-0.336442,0.324806,1.0,2025
25557,-0.253479,-0.98028,4200.0,2025
26904,-0.699633,-0.585185,5560.0,2025
26897,-0.677036,-0.610033,5560.0,2025
26904,-0.704634,-0.588057,5560.0,2025
46286,-0.82895,-0.195313,5560.0,2025
49191,-0.552666,-0.387334,2.0,2025
26969,-0.518857,-0.798827,10.0,2025
17291,0.821517,-0.716594,5700.0,2025
17291,0.816517,-0.719466,5700.0,2025
44227,-0.728176,-0.100021,5560.0,2025
33178,-0.409856,-0.165651,5560.0,2025
17291,0.823193,-0.722574,5700.0,2025
17291,0.819063,-0.712481,6800.0,2025
25704,-0.33413,-0.980928,6600.0,2025
24589,-0.144757,-1.002056,5700.0,2025
24589,-0.143136,-0.999595,5700.0,2025
59929,-0.45223,-0.082622,5560.0,2025
25704,-0.332509,-0.978467,6600.0,2025
32676,-0.281261,-0.245456,4500.0,2025
08141,0.50171,0.157372,5600.0,2025
09306,0.560328,0.040139,5560.0,2025
30926,-0.212594,-0.408959,1.0,2025
08134,0.516744,0.165763,6000.0,2025
29365,0.008239,-0.534311,3600.0,2025
15913,0.880183,-0.249615,4200.0,2025
15913,0.881804,-0.247154,4200.0,2025
32676,-0.285391,-0.235363,4500.0,2025
32676,-0.28744,-0.248231,4500.0,2025
25884,-0.306082,-1.136518,6600.0,2025
25884,-0.304461,-1.134057,6600.0,2025
38315,0.020401,-0.286104,6200.0,2025
38315,0.022022,-0.283643,6200.0,2025
38315,0.017021,-0.286516,6200.0,2025
38315,0.023697,-0.289623,6200.0,2025
38315,0.019567,-0.27953,6200.0,2025
38315,0.017518,-0.292399,6200.0,2025
38315,0.026077,-0.283988,6200.0,2025
38315,0.01477,-0.282027,6200.0,2025
38315,0.022722,-0.294975,6200.0,2025
38315,0.023155,-0.276854,6200.0,2025
29365,0.00986,-0.53185,3600.0,2025
58642,-0.682544,-0.066972,5700.0,2025
58642,-0.680923,-0.064511,5700.0,2025
55597,-0.601963,0.45099,5560.0,2025
55599,-0.598704,0.468143,5560.0,2025
29365,0.004859,-0.534722,3600.0,2025
71634,-0.307852,0.752075,1.0,2025
25764,-0.369738,-1.014003,4200.0,2025
24643,-0.09402,-0.901013,6000.0,2025
15848,0.888982,-0.319874,5560.0,2025
49377,-0.523259,-0.524394,4260.0,2025
29365,0.011536,-0.53783,3600.0,2025
29365,0.007406,-0.527737,3600.0,2025
29365,0.005357,-0.540605,3600.0,2025
29365,0.013915,-0.532195,3600.0,2025
29439,0.167666,-0.607668,6800.0,2025
29462,0.161498,-0.586716,6800.0,2025
52441,-1.000289,0.062012,5700.0,2025
50374,-0.882289,0.123556,3600.0,2025
